Gen	t_n8	t_n9	t_n10	t_n11	t_n12	t_n13	mu1	mu2	mu3	mu_bar	sigma2_1	sigma2_2	sigma2_3	sigma2_bar	lnL
1260	0.1745996	0.1601247	0.0975317	0.0678831	0.0325878	0.0493335	0.3589050	0.1361229	1.4657208	0.2703514	0.0010071	0.0055226	0.0527284	0.0274551	-35000.570
1262	0.1386907	0.1338267	0.0815136	0.0567343	0.0252142	0.0412312	0.4294329	0.1628722	1.7254726	0.2703514	0.0010071	0.0013000	0.0352216	0.0274551	-34998.833
1264	0.1386907	0.1381178	0.0857200	0.0607062	0.0252142	0.0456324	0.4362030	0.1628722	1.7254726	0.2703514	0.0010303	0.0013000	0.0661817	0.0841696	-35003.984
1266	0.1351302	0.1297921	0.0835194	0.0591477	0.0216729	0.0444609	0.4476964	0.1671636	1.7709367	0.2703514	0.0027324	0.0021707	0.0725662	0.0303251	-34999.744
1268	0.1508424	0.1422844	0.0854907	0.0624523	0.0228838	0.0469450	0.4240072	0.1583184	1.6772300	0.2703514	0.0027324	0.0071239	0.0725662	0.1078858	-35003.378
1270	0.1559175	0.1462176	0.0924709	0.0675514	0.0247522	0.0516115	0.3920009	0.1463677	1.5506240	0.2703514	0.0049999	0.0027513	0.0725662	0.0344602	-34997.153
1272	0.1781867	0.1671013	0.1056782	0.0748238	0.0313931	0.0565118	0.3660204	0.1280752	1.5626791	0.2703514	0.0049999	0.0027513	0.0901869	0.0344602	-34997.430
1274	0.1581698	0.1548081	0.0966956	0.0700180	0.0278665	0.0523398	0.3801601	0.1442835	1.5635687	0.2703514	0.0049999	0.0085273	0.0573823	0.0344602	-35000.115
1276	0.1581698	0.1505721	0.0966956	0.0733015	0.0298580	0.0523398	0.3801601	0.1442835	1.5635687	0.2703514	0.0029820	0.0085273	0.0221136	0.0080566	-34996.607
1278	0.1528973	0.1481673	0.0966956	0.0733015	0.0298580	0.0537413	0.3801601	0.1538842	1.5635687	0.2703514	0.0030624	0.0085273	0.0114271	0.0211833	-34999.525
1280	0.1515624	0.1497387	0.1019918	0.0733015	0.0298925	0.0529755	0.3801601	0.1538842	1.5635687	0.2703514	0.0013799	0.0085273	0.0214370	0.0211833	-34996.882
1282	0.1459978	0.1422255	0.0968744	0.0660397	0.0260208	0.0503174	0.4053869	0.1620133	1.6461655	0.5260883	0.0013799	0.0085273	0.0347667	0.0211833	-34996.136
1284	0.1433295	0.1422255	0.0924398	0.0660397	0.0277747	0.0503174	0.4053869	0.1620133	1.6786519	0.5260883	0.0038433	0.0085273	0.0297772	0.0211833	-34994.852
1286	0.1433295	0.1422255	0.0924398	0.0686014	0.0277747	0.0537082	0.4053869	0.1620133	1.6786519	0.5172306	0.0024718	0.0085273	0.0429719	0.0625062	-34998.414
1288	0.1762591	0.1591437	0.1034358	0.0767618	0.0301224	0.0600969	0.3622912	0.1447901	1.5001985	0.2811704	0.0034900	0.0049299	0.0182685	0.0625062	-35000.184
1290	0.1762591	0.1591437	0.1047856	0.0810198	0.0321343	0.0600969	0.3543595	0.1544085	1.5001985	0.2811704	0.0074296	0.0104808	0.0182685	0.0162169	-34999.927
1292	0.1651171	0.1397504	0.0950703	0.0735079	0.0291549	0.0519303	0.3905719	0.1692408	1.6535056	0.2811704	0.0074296	0.0104808	0.0087849	0.0162169	-35006.161
1294	0.1651171	0.1419933	0.0950703	0.0735079	0.0268639	0.0519303	0.3905719	0.1567497	1.6535056	0.2811704	0.0145288	0.0104808	0.0119711	0.0596038	-34994.040
1296	0.1651171	0.1456295	0.0973429	0.0735079	0.0253179	0.0519303	0.3885614	0.1567497	1.6535056	0.4499820	0.0148564	0.0104808	0.0169509	0.0274250	-35003.337
